season,team1_id,team1_score,team2_id,team2_score,numot,team1_seed,team2_seed,host_site,host_lat,host_long,team1_lat,team2_lat,team1_long,team2_long,team1_teamname,team2_teamname,team1_fg2pct,team2_fg2pct,team1_fg3pct,team2_fg3pct,team1_ftpct,team2_ftpct,team1_blockpct,team2_blockpct,team1_oppfg2pct,team2_oppfg2pct,team1_oppfg3pct,team2_oppfg3pct,team1_oppftpct,team2_oppftpct,team1_oppblockpct,team2_oppblockpct,team1_f3grate,team2_f3grate,team1_oppf3grate,team2_oppf3grate,team1_arate,team2_arate,team1_opparate,team2_opparate,team1_stlrate,team2_stlrate,team1_oppstlrate,team2_oppstlrate,team1_tempo,team2_tempo,team1_adjtempo,team2_adjtempo,team1_oe,team2_oe,team1_adjoe,team2_adjoe,team1_de,team2_de,team1_adjde,team2_adjde,team1_ap_preseason,team2_ap_preseason,team1_ap_final,team2_ap_final,team1_coaches_preseason,team2_coaches_preseason,team1_coaches_before_final,team2_coaches_before_final,team1_rpi_rating,team2_rpi_rating,team1_coach_id,team2_coach_id,team1_coach_name,team2_coach_name,team1_pt_school_ncaa,team2_pt_school_ncaa,team1_pt_overall_ncaa,team2_pt_overall_ncaa,team1_pt_school_s16,team2_pt_school_s16,team1_pt_overall_s16,team2_pt_overall_s16,team1_pt_school_ff,team2_pt_school_ff,team1_pt_overall_ff,team2_pt_overall_ff,team1_pt_career_school_wins,team2_pt_career_school_wins,team1_pt_career_school_losses,team2_pt_career_school_losses,team1_pt_career_overall_losses,team2_pt_career_overall_losses,team1_pt_team_season_wins,team2_pt_team_season_wins,team1_pt_team_season_losses,team2_pt_team_season_losses,team1_pt_coach_season_wins,team2_pt_coach_season_wins,team1_pt_coach_season_losses,team2_pt_coach_season_losses
2002,1373,81,1108,77,0,16,16,Dayton,39.7594,-84.1917,42.718586,31.877216,-73.75153,-91.142854,Siena,Alcorn St.,45.6127,48.9138,34.626,37.5556,74.4032,64.2105,11.3308,9.434,42.6616,47.6981,33.6399,34.1071,69.6471,70.6505,10.5144,6.4471,35.3229,23.9744,36.657,29.7082,54.5135,54.3253,57.8947,56.8651,0.0778,0.108,0.102,0.1049,68.8425,76.0664,67.7359,73.8504,98.693,103.4213,98.6102,99.8665,96.3688,99.637,99.6885,106.45,,,,,,,,,0.464,0.51,rob-lanier-1,davey-whitney-1,Rob Lanier,Davey Whitney,0,5,0,5,0,0,0,0,0,0,0,0,16,318,18,210,18,210,16,21,18,9,16,21,18,9
2002,1104,86,1194,78,0,2,15,Greenville,35.6017,-77.3725,33.2144,26.372536,-87.545766,-80.102293,Alabama,Florida Atlantic,50.6579,45.0355,30.8677,33.9114,73.5782,66.7785,8.0468,8.1871,45.2085,48.538,31.7841,34.3925,68.2422,68.8172,7.1637,9.9291,33.945,26.9051,32.7925,30.8891,50.5495,56.5968,46.988,56.3399,0.1053,0.1282,0.0881,0.1076,69.8636,71.2357,69.9001,71.2446,108.4361,100.2897,111.4954,96.8669,95.2313,98.4183,93.877,99.9263,24,,8,,24,,8,,0.637,0.522,mark-gottfried-1,sidney-green-1,Mark Gottfried,Sidney Green,0,0,2,0,0,0,0,0,0,0,0,0,149,28,49,63,73,63,26,19,7,11,26,19,7,11
2002,1112,86,1364,81,0,3,14,Albuquerque,35.1107,-106.61,32.232071,34.415462,-110.950769,-119.848071,Arizona,UC Santa Barbara,50,47.0414,37.6093,40.8247,73.0769,75.8117,7.2512,8.7185,47.8576,43.1723,34.7826,32.0968,70.1258,69.3679,8.4934,6.7061,33.6275,32.3549,31.9731,39.4402,56.4706,65.7778,54.8255,58.5246,0.0835,0.0868,0.0839,0.0778,74.1462,63.2345,72.8207,64.7948,111.0077,105.2163,117.3877,105.4534,104.0411,96.0965,96.9262,97.6704,,,7,,,,8,,0.635,0.55,lute-olson-1,bob-williams-1,Lute Olson,Bob Williams,17,0,22,0,8,0,10,0,4,0,5,0,656,62,144,52,239,52,22,20,9,10,22,20,9,10
2002,1181,84,1457,37,0,1,16,Greenville,35.6017,-77.3725,36.00159,34.93851,-78.94226,-81.028663,Duke,Winthrop,57.4329,47.642,36.2651,30.5603,68.9845,65.5914,7.2251,11.6301,46.2916,45.6625,30.2703,30.4104,68.8693,68.8372,7.4692,9.8171,37.5736,36.1794,26.1916,33.817,57.1821,49.037,49.5516,51.8692,0.1297,0.1108,0.0919,0.0987,77.0734,68.2128,75.1685,67.4639,116.3726,100.2384,118.5999,95.3632,90.2544,94.6587,87.7504,99.9754,1,,1,,1,,1,,0.656,0.47,mike-krzyzewski-1,gregg-marshall-1,Mike Krzyzewski,Gregg Marshall,17,3,17,3,12,0,12,0,9,0,9,0,635,79,167,41,226,41,29,19,3,11,29,19,3,11
2002,1231,75,1428,56,0,5,12,Sacramento,38.5556,-121.4689,39.166383,40.762484,-86.526904,-111.846044,Indiana,Utah,48.3696,50.306,40,40.4719,69.4561,67.9443,12.5086,7.3961,42.8866,49.1388,35.5839,31.8302,66.4013,70.6406,10.0155,7.3439,33.0213,40.2778,27.359,27.6393,58.4949,63.7224,48.2295,51.5702,0.1045,0.0922,0.1075,0.0927,65.7442,62.6181,66.5739,63.3547,105.3974,107.7123,109.6136,108.6231,94.4987,97.4318,89.9224,95.6459,22,,,,22,,,,0.611,0.589,mike-davis-6,rick-majerus-1,Mike Davis,Rick Majerus,1,8,1,9,0,4,0,4,0,1,0,1,41,382,24,81,24,133,20,21,11,8,20,21,11,8
2002,1242,70,1221,59,0,1,16,St. Louis,38.6272,-90.1978,38.957351,41.699982,-95.24587,-86.253668,Kansas,Holy Cross,52.5627,42.9583,41.0959,33.79,71.9128,69.153,12.2449,9.3551,41.8677,43.6876,36.4754,38.3895,68.1621,65.604,9.1058,9.6774,21.791,25.629,31.1622,32.6606,61.3288,63.1124,52.5424,64.4315,0.1159,0.1217,0.1094,0.1047,79.0371,64.2138,79.1217,63.7588,114.5438,98.0754,115.0406,96.6995,94.4261,92.2897,90.5399,96.6499,7,,2,,7,,2,,0.673,0.498,roy-williams-1,ralph-willard-1,Roy Williams,Ralph Willard,12,1,12,3,7,0,7,1,2,0,2,0,384,194,92,40,92,164,29,18,3,14,29,18,3,14
2002,1245,69,1329,61,0,10,7,Greenville,35.6017,-77.3725,41.146856,36.123085,-81.342253,-97.069743,Kent St.,Oklahoma St.,50.7947,49.3718,36.5812,32.7451,73.1034,64.4068,5.4849,8.641,46.1844,45.1689,32.4717,30.742,68.9051,68.231,5.5978,8.8692,28.7894,27.3752,32.9782,30.7776,48.4721,55.0898,50.6394,51.0013,0.0974,0.1124,0.0717,0.0997,65.4145,68.8801,66.1658,67.3849,115.7547,103.9347,113.6686,104.227,96.7084,92.8097,96.201,91.8988,,18,,20,,18,,22,0.604,0.605,stan-heath-1,eddie-sutton-1,Stan Heath,Eddie Sutton,0,9,0,22,0,4,0,11,0,1,0,2,27,704,5,113,5,278,27,23,5,8,27,23,5,8
2002,1246,83,1434,68,0,4,13,St. Louis,38.6272,-90.1978,38.028081,41.463176,-84.510698,-87.045853,Kentucky,Valparaiso,50.9105,51.0804,31.5089,35.0133,67.6948,67.3973,12.3344,10.741,45.1159,45.2956,33.6538,35.5155,67.9117,65.8163,7.8385,6.3094,34.8633,39.4558,34.0611,33.7196,51.1682,63.9766,52.8477,66.8857,0.1055,0.1415,0.0987,0.0957,70.2659,69.9092,69.3445,70.2168,105.2773,110.5689,109.8256,109.2741,94.9881,94.0668,91.1143,96.7884,4,,16,,4,,15,,0.613,0.55,tubby-smith-1,homer-drew-1,Tubby Smith,Homer Drew,4,5,8,5,3,1,6,1,1,0,1,0,254,235,42,184,104,184,20,25,9,7,20,25,9,7
2002,1281,93,1274,80,0,12,5,Albuquerque,35.1107,-106.61,38.626527,25.720406,-90.336949,-80.27645,Missouri,Miami FL,49.6829,47.7441,39.0887,34.5029,68.9704,77.1386,9.7222,15.6766,47.4747,45.0495,36.414,30.9064,66.8831,67.4847,7.8224,9.9262,37.0173,35.9432,25.4588,35.7029,52.2793,64.1809,54.8999,53.183,0.1029,0.1241,0.101,0.1028,70.7578,70.5375,70.5889,70.2876,112.716,104.5566,112.3241,108.2862,101.992,93.077,99.0919,93.5169,8,,,21,8,,,21,0.564,0.607,quin-snyder-1,perry-clark-1,Quin Snyder,Perry Clark,2,0,2,3,0,0,0,0,0,0,0,0,59,225,37,20,37,165,21,24,11,7,21,24,11,7
2002,1323,82,1150,63,0,8,9,Greenville,35.6017,-77.3725,41.616717,35.306834,-86.289848,-80.73579,Notre Dame,Charlotte,49.037,48.7666,37.8641,36.5385,71.194,70.7792,10.9142,6.1591,42.6648,45.1668,33.6538,34.4887,67.5325,69.0598,8.6667,7.4004,31.4024,39.0751,30.6634,33.047,67.0759,54.6649,56.5271,53.2325,0.1099,0.0987,0.1016,0.085,70.3693,68.4682,70.1299,68.4936,109,107.2881,113.8693,111.8788,95.8235,99.058,97.3342,97.3901,,,,,,,,,0.577,0.508,mike-brey-1,bobby-lutz-1,Mike Brey,Bobby Lutz,1,2,3,2,0,0,0,0,0,0,0,0,140,80,20,49,72,49,21,18,10,11,21,18,10,11
