game_id,numot,div_ap_preseason,team1_ap_final,team2_ap_final,div_adjde,div_adjoe,div_adjtempo,div_arate,div_blockpct,div_distance,div_f3grate,div_fg2pct,div_fg3pct,div_ftpct,div_opparate,div_oppblockpct,div_oppf3grate,div_oppfg2pct,div_oppfg3pct,div_oppftpct,div_oppstlrate,div_rpi_norm,div_seed_norm,div_stlrate,win_or_lose
2002-1104-1194,0,0.52,1,0,-0.183700118,0.411717853,-0.052564293,-0.183503972,-0.007500588,0.013296044,0.203622449,0.282199413,-0.174038093,0.302790246,-0.308268149,-0.30335008,0.066777998,-0.175715899,-0.190961469,-0.042531473,-0.0195,0.008826346,0.78,-0.0229,1
2002-1104-1245,0,0.52,1,0,-0.070573302,-0.061164524,0.145995418,0.06303824,0.136961914,0.058487075,0.149120853,-0.006866263,-0.326696667,0.021142816,-0.120361672,0.171771133,-0.006515012,-0.051503573,-0.050339329,-0.049033241,0.0164,-0.001995572,0.48,0.0079,0
2002-1108-1373,0,0,0,0,0.205327616,0.035358454,0.239051223,-0.005710887,-0.101404957,-0.005511279,-0.328244628,0.16568876,0.16751388,-0.453880339,-0.033938867,-0.446161778,-0.24378846,0.265803612,0.034203803,0.07421927,0.0029,0.003530616,0,0.0302,0
2002-1112-1328,0,-0.5,1,1,0.253022293,0.195106163,0.169531085,0.161831732,-0.126980733,-0.200829345,0.117984109,0.089015484,0.148352936,-0.160267714,-0.021300792,0.037471754,0.105022559,0.15612037,0.35528907,0.115737385,0.0015,-0.005295896,-0.06,-0.0458,0
2002-1112-1364,0,0,1,0,-0.022599248,0.33588983,0.313778921,-0.282424912,-0.078443427,-0.129668332,0.036808751,0.148498005,-0.183855861,-0.121780485,-0.121934014,0.196057568,-0.261972256,0.24726887,0.196627938,0.05606018,0.0061,0.006523898,0.66,-0.0033,1
2002-1112-1461,0,0,1,0,0.008080704,0.319464459,0.094154397,0.139130804,-0.170236084,-0.017384849,0.244390903,-0.031866891,0.383853574,0.151165794,0.031209517,-0.034674535,0.088543823,0.24903157,-0.105268938,-0.055660754,-0.0229,0.003070104,0.48,-0.0125,1
2002-1130-1400,0,0.12,0,0,-0.053160767,-0.185961881,0.003413063,-0.024727959,-0.072188482,0.397773648,0.200330891,-0.119858459,-0.174992995,0.040718179,0.012090886,0.113413484,-0.081351698,-0.036816162,-0.262304803,0.030644851,0.0137,0.001228044,-0.3,0.027,0
2002-1131-1153,0,0,0,1,0.396759216,-0.456532997,-0.111579392,0.140645009,-0.129755362,0.070921361,0.122273546,-0.26700128,-0.023975481,-0.093539596,0.336629649,0.450670235,0.365005578,0.121906039,0.256565124,-0.002995695,0.0384,-0.006523898,-0.9,0.0223,0
2002-1143-1335,0,0,0,0,-0.063777129,0.041069056,0.043607447,-0.318953955,0.147461668,0.60432598,-0.203411303,-0.071282656,-0.483254902,-0.245885433,0.150786666,-0.091386762,0.105545303,0.066924563,0.05960774,-0.389322011,-0.0306,-0.001304798,0.3,0.0164,1
2002-1143-1338,0,0,0,1,0.043625476,-0.051662801,0.091128383,-0.159437529,0.003827813,0.681438981,-0.068535546,-0.156809797,-0.047430627,0.323300737,0.157194703,-0.257278252,0.156051559,0.080519522,0.406199439,-0.214861606,-0.0063,0.000383764,-0.18,0.0152,0
2002-1148-1338,0,0,0,1,0.143891796,-0.332760115,-9.38E-05,-0.363545605,-0.195186365,0.117483295,-0.353469296,-0.297196778,0.157501701,0.585497489,-0.080248806,-0.23356223,0.019415228,0.106342555,0.147174453,-0.545268281,0.0271,-0.006754146,-0.66,-0.0002,0
2002-1150-1323,0,0,0,0,0.001697525,-0.056022448,-0.063972445,-0.376609032,-0.254212732,-0.118911683,0.22192559,-0.013571913,-0.075797515,-0.01847102,-0.108600417,-0.138906562,0.083625111,0.132044205,0.061123191,0.11297099,-0.0166,-0.005295896,-0.06,-0.0112,0
2002-1153-1131,0,0,1,0,-0.396759216,0.456532997,0.111579392,-0.140645009,0.129755362,-0.070921361,-0.122273546,0.26700128,0.023975481,0.093539596,-0.336629649,-0.450670235,-0.365005578,-0.121906039,-0.256565124,0.002995695,-0.0384,0.006523898,0.9,-0.0223,1
2002-1153-1417,2,-0.9,1,0,-0.264479826,0.143626303,0.007134982,-0.130057716,0.112872356,-0.552134127,-0.059450501,0.003247421,-0.158056345,0.077232731,-0.358517185,0.011572804,-0.509602363,-0.46943773,-0.271602498,-0.241874639,-0.0148,0.00330036,0.42,-0.0094,0
2002-1163-1214,0,0,1,0,-0.368866971,0.014776079,0.002400482,0.01316053,0.362375168,0.058078978,-0.359543347,-0.150862047,0.222212057,0.122639913,0.178716349,0.20534872,-0.076615421,-0.478472889,0.154327089,0.267652411,-0.0042,0.008903094,0.78,-0.0096,1
