game_id,numot,season,team1_adjde,team1_adjoe,team1_adjtempo,team1_ap_final,team1_ap_preseason,team1_arate,team1_blockpct,team1_coaches_before_final,team1_coaches_preseason,team1_distance,team1_f3grate,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_id,team1_opparate,team1_oppblockpct,team1_oppf3grate,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppstlrate,team1_pt_career_overall_losses,team1_pt_career_school_losses,team1_pt_career_school_wins,team1_pt_coach_season_losses,team1_pt_coach_season_wins,team1_pt_overall_ff,team1_pt_overall_ncaa,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_school_ncaa,team1_pt_school_s16,team1_pt_team_season_losses,team1_pt_team_season_wins,team1_rpi_norm,team1_seed_norm,team1_stlrate,team2_adjde,team2_adjoe,team2_adjtempo,team2_ap_final,team2_ap_preseason,team2_arate,team2_blockpct,team2_coaches_before_final,team2_coaches_preseason,team2_distance,team2_f3grate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_id,team2_opparate,team2_oppblockpct,team2_oppf3grate,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppstlrate,team2_pt_career_overall_losses,team2_pt_career_school_losses,team2_pt_career_school_wins,team2_pt_coach_season_losses,team2_pt_coach_season_wins,team2_pt_overall_ff,team2_pt_overall_ncaa,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_school_ncaa,team2_pt_school_s16,team2_pt_team_season_losses,team2_pt_team_season_wins,team2_rpi_norm,team2_seed_norm,team2_stlrate,win_or_lose
2002-1104-1194,0.0,2002.0,93.877,111.4954,69.9001,8.0,24.0,50.5495,8.0468,8.0,24.0,10.44961925,33.945,50.6579,30.8677,73.5782,1104.0,46.988,7.1637,32.7925,45.2085,31.7841,68.2422,0.0881,73.0,49.0,149.0,7.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,26.0,0.504413173,0.89,0.1053,99.9263,96.8669,71.2446,,,56.5968,8.1871,,,9.624408447,26.9051,45.0355,33.9114,66.7785,1194.0,56.3399,9.9291,30.8891,48.538,34.3925,68.8172,0.1076,63.0,63.0,28.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,0.495586827,0.11,0.1282,1.0
2002-1104-1245,0.0,2002.0,93.877,111.4954,69.9001,8.0,24.0,50.5495,8.0468,8.0,24.0,10.44961925,33.945,50.6579,30.8677,73.5782,1104.0,46.988,7.1637,32.7925,45.2085,31.7841,68.2422,0.0881,73.0,49.0,149.0,7.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,26.0,0.499002214,0.74,0.1053,96.201,113.6686,66.1658,,,48.4721,5.4849,,,6.819654973,28.7894,50.7947,36.5812,73.1034,1245.0,50.6394,5.5978,32.9782,46.1844,32.4717,68.9051,0.0717,5.0,5.0,27.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.500997786,0.26,0.0974,0.0
2002-1108-1373,0.0,2002.0,106.45,99.8665,73.8504,,,54.3253,9.434,,,10.5093942,23.9744,48.9138,37.5556,64.2105,1108.0,56.8651,6.4471,29.7082,47.6981,34.1071,70.6505,0.1049,210.0,210.0,318.0,9.0,21.0,0.0,5.0,0.0,0.0,5.0,0.0,9.0,21.0,0.501765308,0.5,0.108,99.6885,98.6102,67.7359,,,54.5135,11.3308,,,10.85144836,35.3229,45.6127,34.626,74.4032,1373.0,57.8947,10.5144,36.657,42.6616,33.6399,69.6471,0.102,18.0,18.0,16.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,0.498234692,0.5,0.0778,0.0
2002-1112-1328,0.0,2002.0,96.9262,117.3877,72.8207,7.0,,56.4706,7.2512,8.0,,12.06890184,33.6275,50.0,37.6093,73.0769,1112.0,54.8255,8.4934,31.9731,47.8576,34.7826,70.1258,0.0839,239.0,144.0,656.0,9.0,22.0,5.0,22.0,10.0,4.0,17.0,8.0,9.0,22.0,0.497352052,0.47,0.0835,88.5941,110.4555,68.4844,3.0,25.0,51.1375,9.6264,3.0,25.0,24.53325139,29.5484,48.2265,35.0148,76.676,1328.0,55.4717,8.1518,28.9796,44.8994,29.9296,68.5611,0.0824,176.0,73.0,286.0,4.0,27.0,0.0,8.0,1.0,0.0,7.0,1.0,4.0,27.0,0.502647948,0.53,0.1293,0.0
2002-1112-1364,0.0,2002.0,96.9262,117.3877,72.8207,7.0,,56.4706,7.2512,8.0,,5.208529584,33.6275,50.0,37.6093,73.0769,1112.0,54.8255,8.4934,31.9731,47.8576,34.7826,70.1258,0.0839,239.0,144.0,656.0,9.0,22.0,5.0,22.0,10.0,4.0,17.0,8.0,9.0,22.0,0.503261949,0.83,0.0835,97.6704,105.4534,64.7948,,,65.7778,8.7185,,,13.25631471,32.3549,47.0414,40.8247,75.8117,1364.0,58.5246,6.7061,39.4402,43.1723,32.0968,69.3679,0.0778,52.0,52.0,62.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.496738051,0.17,0.0868,1.0
2002-1112-1461,0.0,2002.0,96.9262,117.3877,72.8207,7.0,,56.4706,7.2512,8.0,,5.208529584,33.6275,50.0,37.6093,73.0769,1112.0,54.8255,8.4934,31.9731,47.8576,34.7826,70.1258,0.0839,239.0,144.0,656.0,9.0,22.0,5.0,22.0,10.0,4.0,17.0,8.0,9.0,22.0,0.501535052,0.74,0.0835,96.6601,106.037,70.4124,,,51.8856,10.4355,,,6.2875095,25.1781,50.6349,30.8962,69.6822,1461.0,53.8787,8.8095,29.4493,43.1389,36.2205,70.8783,0.1068,40.0,40.0,78.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,0.498464948,0.26,0.096,1.0
2002-1130-1400,0.0,2002.0,97.6867,107.0112,70.708,,17.0,53.5581,8.1839,,17.0,27.35103941,32.8803,45.8723,33.7043,69.5876,1130.0,52.4968,9.3458,30.1959,46.6095,32.973,65.8098,0.1047,198.0,72.0,217.0,11.0,20.0,0.0,3.0,0.0,0.0,1.0,0.0,11.0,20.0,0.500614022,0.35,0.1139,99.4373,113.6185,70.6207,,23.0,54.373,9.5342,,23.0,2.663463031,25.9542,48.2603,36.7647,68.6732,1400.0,52.13,8.3119,32.5147,47.3071,36.5559,65.3955,0.091,176.0,42.0,290.0,11.0,20.0,0.0,9.0,1.0,0.0,3.0,0.0,11.0,20.0,0.499385978,0.65,0.0869,0.0
2002-1131-1153,0.0,2002.0,101.1011,99.5634,65.8612,,,53.3422,7.7994,,,9.102354527,32.0883,45.4167,35.8025,68.8172,1131.0,55.0218,10.3333,38.8068,42.8041,33.0893,68.2443,0.1041,106.0,106.0,129.0,9.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,22.0,0.496738051,0.05,0.0913,88.0357,115.7842,68.7152,5.0,,48.7073,10.2265,5.0,,4.700663956,27.8609,50.7363,36.2218,70.9178,1153.0,44.8095,6.2249,28.4029,40.4942,29.5848,68.2848,0.0657,146.0,100.0,427.0,3.0,30.0,1.0,11.0,4.0,1.0,10.0,4.0,3.0,30.0,0.503261949,0.95,0.069,0.0
2002-1143-1335,0.0,2002.0,93.0913,108.4214,68.0084,,,58.3234,11.9891,,,42.33848513,32.1796,51.6746,31.4286,67.713,1143.0,59.6708,7.0973,36.8693,46.1399,34.3701,66.6174,0.0729,202.0,69.0,301.0,8.0,22.0,0.0,5.0,2.0,0.0,2.0,1.0,8.0,22.0,0.499347601,0.65,0.1143,95.1915,106.9622,66.893,,,68.8344,9.2308,,,4.831365486,39.2122,53.0948,39.8801,73.2348,1335.0,55.0964,7.9304,33.8609,44.8718,33.5559,71.8808,0.1035,128.0,128.0,231.0,6.0,25.0,0.0,5.0,0.0,0.0,5.0,0.0,6.0,25.0,0.500652399,0.35,0.0979,1.0
2002-1143-1338,0.0,2002.0,93.0913,108.4214,68.0084,,,58.3234,11.9891,,,42.33848513,32.1796,51.6746,31.4286,67.713,1143.0,59.6708,7.0973,36.8693,46.1399,34.3701,66.6174,0.0729,202.0,69.0,301.0,8.0,22.0,0.0,5.0,2.0,0.0,2.0,1.0,8.0,22.0,0.500191882,0.41,0.1143,91.6547,110.257,65.6775,9.0,,63.5776,11.9175,7.0,,0.04539456,34.5491,54.7988,32.2581,60.4527,1338.0,54.902,9.4427,32.4213,44.6142,28.8217,69.5222,0.0792,95.0,34.0,136.0,5.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,27.0,0.499808118,0.59,0.0991,0.0
