game_id,season,team2_id,team1_id,win_or_lose,team1_seed_norm,numot,team2_seed_norm,team2_distance,team1_distance,team2_fg2pct,team1_fg2pct,team2_fg3pct,team1_fg3pct,team2_ftpct,team1_ftpct,team2_blockpct,team1_blockpct,team2_oppfg2pct,team1_oppfg2pct,team2_oppfg3pct,team1_oppfg3pct,team2_oppftpct,team1_oppftpct,team2_oppblockpct,team1_oppblockpct,team2_f3grate,team1_f3grate,team2_oppf3grate,team1_oppf3grate,team2_arate,team1_arate,team2_opparate,team1_opparate,team2_stlrate,team1_stlrate,team2_oppstlrate,team1_oppstlrate,team2_adjtempo,team1_adjtempo,team2_adjoe,team1_adjoe,team2_adjde,team1_adjde,team2_ap_preseason,team1_ap_preseason,team2_ap_final,team1_ap_final,team2_coaches_preseason,team1_coaches_preseason,team2_coaches_before_final,team1_coaches_before_final,team2_rpi_norm,team1_rpi_norm,team2_pt_school_ncaa,team1_pt_school_ncaa,team2_pt_overall_ncaa,team1_pt_overall_ncaa,team2_pt_school_s16,team1_pt_school_s16,team2_pt_overall_s16,team1_pt_overall_s16,team2_pt_school_ff,team1_pt_school_ff,team2_pt_overall_ff,team1_pt_overall_ff,team2_pt_career_school_wins,team1_pt_career_school_wins,team2_pt_career_school_losses,team1_pt_career_school_losses,team2_pt_career_overall_losses,team1_pt_career_overall_losses,team2_pt_team_season_wins,team1_pt_team_season_wins,team2_pt_team_season_losses,team1_pt_team_season_losses,team2_pt_coach_season_wins,team1_pt_coach_season_wins,team2_pt_coach_season_losses,team1_pt_coach_season_losses
2002-1108-1373,2002,1373,1108,0,0.5,0,0.5,10.85144836,10.5093942,45.6127,48.9138,34.626,37.5556,74.4032,64.2105,11.3308,9.434,42.6616,47.6981,33.6399,34.1071,69.6471,70.6505,10.5144,6.4471,35.3229,23.9744,36.657,29.7082,54.5135,54.3253,57.8947,56.8651,0.0778,0.108,0.102,0.1049,67.7359,73.8504,98.6102,99.8665,99.6885,106.45,,,,,,,,,0.498234692,0.501765308,0,5,0,5,0,0,0,0,0,0,0,0,16,318,18,210,18,210,16,21,18,9,16,21,18,9
2002-1194-1104,2002,1104,1194,0,0.11,0,0.89,10.44961925,9.624408447,50.6579,45.0355,30.8677,33.9114,73.5782,66.7785,8.0468,8.1871,45.2085,48.538,31.7841,34.3925,68.2422,68.8172,7.1637,9.9291,33.945,26.9051,32.7925,30.8891,50.5495,56.5968,46.988,56.3399,0.1053,0.1282,0.0881,0.1076,69.9001,71.2446,111.4954,96.8669,93.877,99.9263,24,,8,,24,,8,,0.504413173,0.495586827,0,0,2,0,0,0,0,0,0,0,0,0,149,28,49,63,73,63,26,19,7,11,26,19,7,11
2002-1364-1112,2002,1112,1364,0,0.17,0,0.83,5.208529584,13.25631471,50,47.0414,37.6093,40.8247,73.0769,75.8117,7.2512,8.7185,47.8576,43.1723,34.7826,32.0968,70.1258,69.3679,8.4934,6.7061,33.6275,32.3549,31.9731,39.4402,56.4706,65.7778,54.8255,58.5246,0.0835,0.0868,0.0839,0.0778,72.8207,64.7948,117.3877,105.4534,96.9262,97.6704,,,7,,,,8,,0.503261949,0.496738051,17,0,22,0,8,0,10,0,4,0,5,0,656,62,144,52,239,52,22,20,9,10,22,20,9,10
2002-1457-1181,2002,1181,1457,0,0.05,0,0.95,1.619894586,3.715824116,57.4329,47.642,36.2651,30.5603,68.9845,65.5914,7.2251,11.6301,46.2916,45.6625,30.2703,30.4104,68.8693,68.8372,7.4692,9.8171,37.5736,36.1794,26.1916,33.817,57.1821,49.037,49.5516,51.8692,0.1297,0.1108,0.0919,0.0987,75.1685,67.4639,118.5999,95.3632,87.7504,99.9754,1,,1,,1,,1,,0.507137529,0.492862471,17,3,17,3,12,0,12,0,9,0,9,0,635,79,167,41,226,41,29,19,3,11,29,19,3,11
2002-1428-1231,2002,1231,1428,0,0.29,0,0.71,34.94733381,9.872674136,48.3696,50.306,40,40.4719,69.4561,67.9443,12.5086,7.3961,42.8866,49.1388,35.5839,31.8302,66.4013,70.6406,10.0155,7.3439,33.0213,40.2778,27.359,27.6393,58.4949,63.7224,48.2295,51.5702,0.1045,0.0922,0.1075,0.0927,66.5739,63.3547,109.6136,108.6231,89.9224,95.6459,22,,,,22,,,,0.50084428,0.49915572,1,8,1,9,0,4,0,4,0,1,0,1,41,382,24,81,24,133,20,21,11,8,20,21,11,8
2002-1221-1242,2002,1242,1221,0,0.05,0,0.95,5.058854654,4.999816642,52.5627,42.9583,41.0959,33.79,71.9128,69.153,12.2449,9.3551,41.8677,43.6876,36.4754,38.3895,68.1621,65.604,9.1058,9.6774,21.791,25.629,31.1622,32.6606,61.3288,63.1124,52.5424,64.4315,0.1159,0.1217,0.1094,0.1047,79.1217,63.7588,115.0406,96.6995,90.5399,96.6499,7,,2,,7,,2,,0.506715469,0.493284531,12,1,12,3,7,0,7,1,2,0,2,0,384,194,92,40,92,164,29,18,3,14,29,18,3,14
2002-1329-1245,2002,1245,1329,0,0.59,0,0.41,6.819654973,19.70414231,50.7947,49.3718,36.5812,32.7451,73.1034,64.4068,5.4849,8.641,46.1844,45.1689,32.4717,30.742,68.9051,68.231,5.5978,8.8692,28.7894,27.3752,32.9782,30.7776,48.4721,55.0898,50.6394,51.0013,0.0974,0.1124,0.0717,0.0997,66.1658,67.3849,113.6686,104.227,96.201,91.8988,,18,,20,,18,,22,0.499961624,0.500038376,0,9,0,22,0,4,0,11,0,1,0,2,27,704,5,113,5,278,27,23,5,8,27,23,5,8
2002-1434-1246,2002,1246,1434,0,0.23,0,0.77,5.718572613,4.239991717,50.9105,51.0804,31.5089,35.0133,67.6948,67.3973,12.3344,10.741,45.1159,45.2956,33.6538,35.5155,67.9117,65.8163,7.8385,6.3094,34.8633,39.4558,34.0611,33.7196,51.1682,63.9766,52.8477,66.8857,0.1055,0.1415,0.0987,0.0957,69.3445,70.2168,109.8256,109.2741,91.1143,96.7884,4,,16,,4,,15,,0.502417696,0.497582304,4,5,8,5,3,1,6,1,1,0,1,0,254,235,42,184,104,184,20,25,9,7,20,25,9,7
2002-1274-1281,2002,1281,1274,0,0.71,0,0.29,16.6485203,27.95770872,49.6829,47.7441,39.0887,34.5029,68.9704,77.1386,9.7222,15.6766,47.4747,45.0495,36.414,30.9064,66.8831,67.4847,7.8224,9.9262,37.0173,35.9432,25.4588,35.7029,52.2793,64.1809,54.8999,53.183,0.1029,0.1241,0.101,0.1028,70.5889,70.2876,112.3241,108.2862,99.0919,93.5169,8,,,21,8,,,21,0.49834982,0.50165018,2,0,2,3,0,0,0,0,0,0,0,0,59,225,37,20,37,165,21,24,11,7,21,24,11,7
2002-1150-1323,2002,1323,1150,0,0.47,0,0.53,10.75637136,3.376190987,49.037,48.7666,37.8641,36.5385,71.194,70.7792,10.9142,6.1591,42.6648,45.1668,33.6538,34.4887,67.5325,69.0598,8.6667,7.4004,31.4024,39.0751,30.6634,33.047,67.0759,54.6649,56.5271,53.2325,0.1099,0.0987,0.1016,0.085,70.1299,68.4936,113.8693,111.8788,97.3342,97.3901,,,,,,,,,0.502647948,0.497352052,1,2,3,2,0,0,0,0,0,0,0,0,140,80,20,49,72,49,21,18,10,11,21,18,10,11
