game_id,div_adjde,div_adjoe,div_blockpct,div_distance,div_oppf3grate,div_oppfg2pct,div_oppfg3pct,div_rpi_norm,div_seed_norm,team1_teamname,Model_prediction,year,team1_win
2002-1245-1329,0.130645636,0.265733006,-0.168728482,-0.207598731,0.077204825,0.053593481,0.126631672,-7.68E-05,-0.18,Kent St.,0.836666667,2002,1
2002-1281-1274,0.16929697,0.113646342,-0.318328593,-0.182217041,-0.35939923,0.127991049,0.403212463,-0.00330036,-0.42,Missouri,0.736666667,2002,1
2002-1409-1266,0.229150661,0.031767163,0.059844321,0.020890741,-0.223618937,0.083110797,0.201049834,-0.00053727,-0.42,Tulsa,0.756666667,2002,1
2002-1423-1425,0.082768757,-0.172967374,-0.116374056,0.616562555,-0.103587642,-0.102220791,-0.116836148,-0.002686342,-0.54,UNC Wilmington,0.653333333,2002,1
2002-1461-1211,0.00967498,-0.257264202,0.087537155,-0.165487176,-0.174221321,0.071136045,0.218678849,-0.000921034,-0.3,Wyoming,0.716666667,2002,1
2002-1166-1196,0.267373817,-0.087750208,-0.074246734,-0.081005807,-0.058175516,0.065710727,0.405686968,0.002763096,-0.42,Creighton,0.813333333,2002,1
2002-1356-1403,-0.070132978,-0.195590255,0.159982251,-0.193757446,0.049741434,-0.146626065,0.030601861,0.001304798,-0.3,Southern Illinois,0.86,2002,1
2002-1245-1104,0.070573302,0.061164524,-0.136961914,-0.058487075,0.006515012,0.051503573,0.050339329,0.001995572,-0.48,Kent St.,0.786666667,2002,1
2002-1281-1326,0.071669557,-0.090815189,0.154588029,-0.120089446,-0.315365886,-0.128466028,0.318581479,-0.002149076,-0.48,Missouri,0.743333333,2002,1
2002-1356-1208,-0.068772529,-0.256456443,0.128114107,-0.074117958,-0.281562901,-0.42190815,0.357807501,-0.00107454,-0.48,Southern Illinois,0.763333333,2002,1
2002-1400-1280,0.237103822,0.1191346,0.026554113,-0.085079026,-0.063150361,0.014930178,0.472747505,-0.001228044,-0.18,Texas,0.733333333,2002,1
2002-1417-1153,0.264479826,-0.143626303,-0.112872356,0.552134127,0.509602363,0.46943773,0.271602498,-0.00330036,-0.42,UCLA,0.676666667,2002,1
2002-1231-1181,0.065957492,-0.252918627,0.282461561,-0.057726305,0.040956517,-0.179700446,0.389009686,-0.004067878,-0.24,Indiana,0.68,2002,1
2002-1245-1338,0.138058262,0.096019184,-0.343893677,-0.011422349,0.01953802,0.08286803,0.267217207,-0.003991126,-0.42,Kent St.,0.743333333,2002,1
2002-1281-1417,0.071265673,0.046242091,0.085911939,0.432263586,-0.612891795,-0.101038621,0.228364557,-0.003377112,-0.24,Missouri,0.713333333,2002,1
2002-1231-1328,0.040336711,-0.023695202,0.154085495,-0.117914457,-0.056856375,-0.106226449,0.413952399,-0.001228044,-0.18,Indiana,0.733333333,2002,1
2003-1113-1272,0.098252977,0.024407268,-0.114449458,0.112805704,-0.0992022,0.262700415,0.125841002,0.004912142,-0.18,Arizona St.,0.823333333,2003,1
2003-1141-1166,0.107940104,-0.032020467,-0.115438488,0.182270891,-0.042721219,0.113002818,0.203048472,-0.000690776,-0.3,Central Michigan,0.663333333,2003,1
2003-1211-1153,0.181780913,0.191171504,-0.144446464,-0.299149284,0.100037189,0.096130503,0.152789674,0.00260959,-0.06,Gonzaga,0.863333333,2003,1
2003-1409-1173,-0.172193998,-0.317761691,0.240157817,-0.158128086,0.110607857,-0.056997498,-0.471114918,0.000460516,-0.54,Tulsa,0.846666667,2003,1
2003-1120-1386,0.163833916,-0.085881386,-0.033814127,-0.136903908,0.207196334,0.415532874,-0.004553674,-0.001228044,-0.18,Auburn,0.743333333,2003,1
2003-1139-1280,0.387749277,0.177211627,-0.309454056,0.068945382,-0.238732923,0.244587876,0.160689054,-0.000460516,-0.42,Butler,0.726666667,2003,1
2003-1345-1261,-0.026313152,-0.181810506,-0.182895665,-0.047853137,-0.052442866,0.078397948,-0.258951776,0.002763096,-0.06,Purdue,0.813333333,2003,1
2003-1428-1332,-0.123345369,-0.118045392,0.237180035,-0.188477732,0.06611492,0.029358989,-0.259544779,0.008826346,-0.06,Utah,0.866666667,2003,1
2003-1163-1390,-0.033920128,0.058538604,0.412446806,0.552221872,-0.045359501,-0.247226649,0.062287233,0.000307012,-0.06,Connecticut,0.886666667,2003,1
2003-1323-1228,0.272135389,0.103820953,0.141794795,-0.036534297,-0.330318488,0.066059045,0.420446143,-0.000921034,-0.06,Notre Dame,0.79,2003,1
2003-1120-1448,-0.05114135,-0.28231036,0.089456408,-0.047058205,-0.003297852,0.184529401,-0.025162344,0.001765314,-0.48,Auburn,0.82,2003,1
