game_id,div_adjde,div_adjoe,div_blockpct,div_distance,div_fg3pct,div_oppfg2pct,div_oppfg3pct,div_rpi_norm,div_seed_norm,win_or_lose
2002-1104-1194,-0.183700118,0.411717853,-0.007500588,0.013296044,-0.174038093,-0.175715899,-0.190961469,0.008826346,0.78,1
2002-1104-1245,-0.070573302,-0.061164524,0.136961914,0.058487075,-0.326696667,-0.051503573,-0.050339329,-0.001995572,0.48,0
2002-1108-1373,0.205327616,0.035358454,-0.101404957,-0.005511279,0.16751388,0.265803612,0.034203803,0.003530616,0,0
2002-1112-1328,0.253022293,0.195106163,-0.126980733,-0.200829345,0.148352936,0.15612037,0.35528907,-0.005295896,-0.06,0
2002-1112-1364,-0.022599248,0.33588983,-0.078443427,-0.129668332,-0.183855861,0.24726887,0.196627938,0.006523898,0.66,1
2002-1112-1461,0.008080704,0.319464459,-0.170236084,-0.017384849,0.383853574,0.24903157,-0.105268938,0.003070104,0.48,1
2002-1130-1400,-0.053160767,-0.185961881,-0.072188482,0.397773648,-0.174992995,-0.036816162,-0.262304803,0.001228044,-0.3,0
2002-1131-1153,0.396759216,-0.456532997,-0.129755362,0.070921361,-0.023975481,0.121906039,0.256565124,-0.006523898,-0.9,0
2002-1143-1335,-0.063777129,0.041069056,0.147461668,0.60432598,-0.483254902,0.066924563,0.05960774,-0.001304798,0.3,1
2002-1143-1338,0.043625476,-0.051662801,0.003827813,0.681438981,-0.047430627,0.080519522,0.406199439,0.000383764,-0.18,0
2002-1148-1338,0.143891796,-0.332760115,-0.195186365,0.117483295,0.157501701,0.106342555,0.147174453,-0.006754146,-0.66,0
2002-1150-1323,0.001697525,-0.056022448,-0.254212732,-0.118911683,-0.075797515,0.132044205,0.061123191,-0.005295896,-0.06,0
2002-1153-1131,-0.396759216,0.456532997,0.129755362,-0.070921361,0.023975481,-0.121906039,-0.256565124,0.006523898,0.9,1
2002-1153-1417,-0.264479826,0.143626303,0.112872356,-0.552134127,-0.158056345,-0.46943773,-0.271602498,0.00330036,0.42,0
2002-1163-1214,-0.368866971,0.014776079,0.362375168,0.058078978,0.222212057,-0.478472889,0.154327089,0.008903094,0.78,1
2002-1163-1268,0.00159124,-0.226974647,0.109023159,-0.000779795,0.112781396,-0.162743691,0.050112378,-0.005065644,-0.06,0
2002-1163-1301,-0.060120922,-0.048350145,0.533814127,0.033657944,0.195692075,-0.474118914,0.068202617,0.002456086,0.3,1
2002-1163-1356,-0.093130035,0.076936933,0.204445823,-0.161607002,0.158988375,-0.07723161,-0.260459906,-0.000614022,0.54,1
2002-1166-1196,0.267373817,-0.087750208,-0.074246734,-0.081005807,0.108544374,0.065710727,0.405686968,0.002763096,-0.42,1
2002-1166-1228,0.195437029,-0.059827641,-0.026725189,0.080011851,0.02581667,-0.001831309,0.352184958,-0.002839848,-0.48,0
2002-1172-1326,-0.02860891,-0.443116317,0.122153198,0.026841598,-0.167296597,-0.457214933,0.125277284,-0.001842066,-0.54,0
2002-1181-1231,-0.065957492,0.252918627,-0.282461561,0.057726305,-0.213560756,0.179700446,-0.389009686,0.004067878,0.24,0
